NUMTRACKS 10000
0.21404 0.43754 -179.86
0.2424 0.48802 -180.84
0.2775 0.5505 -181.22
0.3126 0.61298 -181.61
0.35499 0.68812 -181.2
0.39954 0.76702 -180.57
0.44923 0.85428 -179.25
0.50555 0.95228 -177.05
0.5632 1.0522 -174.64
0.63238 1.1693 -170.32
0.70329 1.2886 -165.64
0.78613 1.4233 -158.49
0.8711 1.56 -150.77
0.96829 1.7079 -139.79
1.0677 1.8559 -127.95
1.178 2.0051 -112.01
1.29 2.1519 -95.102
1.4087 2.2883 -74.211
1.5299 2.4025 -49.779
1.6504 2.4917 -22.808
1.7685 2.5512 6.5248
1.8779 2.5571 38.354
1.9738 2.5065 70.98
2.0542 2.4055 103.22
2.1166 2.2529 134.29
2.1434 2.0264 161
2.1431 1.7605 183.26
2.117 1.4648 200.91
2.0595 1.1468 212.36
1.9704 0.82705 217.05
1.8539 0.52541 215.59
1.7183 0.25097 209.54
1.5685 0.0087822 199.95
1.4085 -0.19407 187.58
1.2439 -0.35819 173.53
1.0791 -0.48575 158.68
0.91771 -0.58128 143.73
0.76316 -0.64876 129.21
0.61722 -0.69436 115.37
0.48119 -0.72285 102.39
0.35668 -0.73791 90.405
0.24293 -0.74379 79.32
0.13931 -0.7444 69.048
0.042727 -0.74137 59.341
-0.039342 -0.73519 50.742
-0.11663 -0.72888 42.499
-0.18411 -0.72281 34.983
-0.24495 -0.71815 27.961
-0.30086 -0.71471 21.31
-0.34926 -0.71429 15.256
-0.39379 -0.71621 9.5474
-0.43521 -0.7201 4.1206
-0.472 -0.72813 -0.79794
-0.50694 -0.7386 -5.4377
-0.54023 -0.75129 -9.8233
-0.57132 -0.76833 -13.719
-0.60169 -0.78779 -17.333
-0.63143 -0.80948 -20.688
-0.66082 -0.8354 -23.519
-0.69047 -0.86365 -26.03
-0.72037 -0.89395 -28.257
-0.75123 -0.92806 -29.882
-0.78258 -0.96358 -31.259
-0.81521 -1.0023 -32.025
-0.84897 -1.0429 -32.339
-0.8837 -1.085 -32.265
-0.92068 -1.1295 -31.311
-0.95799 -1.1744 -30.229
-0.99771 -1.2205 -28.053
-1.0377 -1.2668 -25.747
-1.0797 -1.3122 -22.232
-1.122 -1.3576 -18.602
-1.1654 -1.3992 -13.713
-1.209 -1.4405 -8.7318
-1.2525 -1.4744 -2.501
-1.2961 -1.5079 3.7927
-1.3375 -1.5298 11.147
-1.3787 -1.5508 18.577
-1.4155 -1.5567 26.711
-1.4518 -1.5611 34.91
-1.4812 -1.5481 43.307
-1.5098 -1.5331 51.727
-1.5293 -1.5001 59.743
-1.5475 -1.4645 67.703
-1.5547 -1.4133 74.63
-1.5601 -1.3596 81.387
-1.5537 -1.2946 86.636
-1.545 -1.2275 91.6
-1.5254 -1.1541 94.8
-1.5033 -1.0793 97.619
-1.4721 -1.004 98.698
-1.4387 -0.92853 99.353
-1.3975 -0.85809 98.238
-1.3555 -0.78827 96.925
-1.3079 -0.72789 93.965
-1.2601 -0.66887 90.861
-1.2099 -0.62035 86.651
-1.1599 -0.57448 82.265
-1.1101 -0.5381 77.25
-1.0613 -0.50614 72.034
-1.0139 -0.48102 66.508
-0.96896 -0.46167 60.834
-0.92576 -0.44672 55.046
-0.88644 -0.43813 49.21
-0.84847 -0.43176 43.357
-0.8159 -0.43178 37.57
-0.78418 -0.43273 31.799
-0.75827 -0.43927 26.181
-0.73357 -0.44679 20.609
-0.71381 -0.45825 15.225
-0.69609 -0.47114 9.9384
-0.68233 -0.48677 4.842
-0.67181 -0.50456 -0.060387
-0.66476 -0.52465 -4.7537
-0.65772 -0.54475 -9.447
-0.65741 -0.5692 -13.655
-0.65787 -0.59414 -17.809
-0.6606 -0.62059 -21.762
-0.66828 -0.65032 -25.281
-0.67596 -0.68006 -28.8
-0.68856 -0.71361 -31.764
-0.70297 -0.74856 -34.523
-0.71826 -0.78429 -37.157
-0.73867 -0.82455 -39.065
-0.75907 -0.86481 -40.973
-0.78458 -0.90937 -42.045
-0.81081 -0.95456 -42.999
-0.84051 -1.0024 -43.266
-0.87251 -1.0521 -43.082
-0.90631 -1.1028 -42.454
-0.94375 -1.1558 -40.929
-0.98149 -1.2089 -39.306
-1.024 -1.2632 -36.121
-1.0666 -1.3175 -32.936
-1.1108 -1.3703 -28.92
-1.1575 -1.4207 -23.666
-1.2043 -1.4712 -18.412
-1.252 -1.5131 -11.605
-1.3001 -1.5522 -4.2611
-1.348 -1.5895 3.2253
-1.3927 -1.6084 12.237
-1.4374 -1.6274 21.248
-1.4791 -1.6362 30.595
-1.5166 -1.6316 40.391
-1.5484 -1.6134 50.134
-1.5767 -1.587 59.846
-1.5952 -1.5427 68.916
-1.6113 -1.4941 77.824
-1.6139 -1.4266 85.301
-1.6135 -1.3561 92.358
-1.6016 -1.2744 97.806
-1.5839 -1.19 102.31
-1.5578 -1.1017 105.41
-1.5243 -1.0137 107.07
-1.4856 -0.92582 107.77
-1.4393 -0.84318 106.71
-1.391 -0.76191 105.19
-1.3364 -0.6919 101.86
-1.2814 -0.62353 98.355
-1.2238 -0.5679 93.586
-1.1664 -0.51556 88.603
-1.1094 -0.4748 82.865
-1.0534 -0.43866 76.951
-0.9996 -0.41154 70.695
-0.94795 -0.38935 64.359
-0.89887 -0.37302 57.929
-0.85411 -0.3635 51.475
-0.81123 -0.35667 45.025
-0.77359 -0.35606 38.653
-0.73879 -0.35805 32.358
-0.70737 -0.36315 26.155
-0.68116 -0.37209 20.14
-0.65636 -0.38207 14.176
-0.6374 -0.39576 8.4711
-0.6194 -0.41006 2.8085
-0.60738 -0.42776 -2.5392
-0.59582 -0.44573 -7.8629
-0.59025 -0.46706 -12.814
-0.58509 -0.48864 -17.735
-0.5853 -0.51353 -22.259
-0.58552 -0.53841 -26.782
-0.5913 -0.567 -30.832
-0.59733 -0.59575 -34.86
-0.60813 -0.62804 -38.417
-0.61983 -0.66098 -41.885
-0.63552 -0.69735 -44.881
-0.6527 -0.73499 -47.701
-0.6732 -0.77582 -50.054
-0.69579 -0.81865 -52.114
-0.7212 -0.86421 -53.722
-0.74944 -0.91251 -54.878
-0.77991 -0.96286 -55.617
-0.81393 -1.0165 -55.689
-0.84949 -1.0714 -55.411
-0.88925 -1.1298 -54.188
-0.92994 -1.1887 -52.696
-0.97571 -1.2505 -49.75
-1.0215 -1.3123 -46.804
